pairing,Conservative,Labour,Liberal Democrat,Brexit party,Democratic Unionist Party,Sinn Fein,Social Democratic & Labour Party,Alliance,Ulster Unionist Party,Scottish National Party,Green,Plaid Cymru
170,3,1,0,0,0,0,0,0,0,0,0,0
171,3,1,0,0,0,0,0,0,0,0,0,0
172,3,1,0,0,0,0,0,0,0,0,0,0
173,3,1,0,0,0,0,0,0,0,0,0,0
174,3,0,1,0,0,0,0,0,0,0,0,0
175,3,1,0,0,0,0,0,0,0,0,0,0
176,3,1,0,0,0,0,0,0,0,0,0,0
177,3,1,0,0,0,0,0,0,0,0,0,0
178,3,1,0,0,0,0,0,0,0,0,0,0
179,3,1,0,0,0,0,0,0,0,0,0,0
180,4,0,0,0,0,0,0,0,0,0,0,0
181,4,0,0,0,0,0,0,0,0,0,0,0
182,3,1,0,0,0,0,0,0,0,0,0,0
183,3,1,0,0,0,0,0,0,0,0,0,0
184,3,1,0,0,0,0,0,0,0,0,0,0
185,3,1,0,0,0,0,0,0,0,0,0,0
186,3,1,0,0,0,0,0,0,0,0,0,0
187,3,1,0,0,0,0,0,0,0,0,0,0
188,3,1,0,0,0,0,0,0,0,0,0,0
189,3,0,1,0,0,0,0,0,0,0,0,0
190,3,0,1,0,0,0,0,0,0,0,0,0
191,3,1,0,0,0,0,0,0,0,0,0,0
192,3,1,0,0,0,0,0,0,0,0,0,0
193,3,1,0,0,0,0,0,0,0,0,0,0
194,3,1,0,0,0,0,0,0,0,0,0,0
195,3,1,0,0,0,0,0,0,0,0,0,0
196,3,1,0,0,0,0,0,0,0,0,0,0
197,3,1,0,0,0,0,0,0,0,0,0,0
198,3,1,0,0,0,0,0,0,0,0,0,0
199,4,0,0,0,0,0,0,0,0,0,0,0
200,3,1,0,0,0,0,0,0,0,0,0,0
201,3,1,0,0,0,0,0,0,0,0,0,0
202,3,1,0,0,0,0,0,0,0,0,0,0
203,3,1,0,0,0,0,0,0,0,0,0,0
204,3,1,0,0,0,0,0,0,0,0,0,0
205,3,1,0,0,0,0,0,0,0,0,0,0
206,3,1,0,0,0,0,0,0,0,0,0,0
207,3,1,0,0,0,0,0,0,0,0,0,0
208,3,1,0,0,0,0,0,0,0,0,0,0
209,3,1,0,0,0,0,0,0,0,0,0,0
210,3,1,0,0,0,0,0,0,0,0,0,0
211,3,1,0,0,0,0,0,0,0,0,0,0
212,3,1,0,0,0,0,0,0,0,0,0,0
213,3,1,0,0,0,0,0,0,0,0,0,0
214,3,1,0,0,0,0,0,0,0,0,0,0
215,3,1,0,0,0,0,0,0,0,0,0,0
216,3,1,0,0,0,0,0,0,0,0,0,0
217,3,1,0,0,0,0,0,0,0,0,0,0
218,3,1,0,0,0,0,0,0,0,0,0,0
219,3,1,0,0,0,0,0,0,0,0,0,0
220,3,1,0,0,0,0,0,0,0,0,0,0
221,3,1,0,0,0,0,0,0,0,0,0,0
222,3,1,0,0,0,0,0,0,0,0,0,0
223,3,1,0,0,0,0,0,0,0,0,0,0
224,3,1,0,0,0,0,0,0,0,0,0,0
225,3,1,0,0,0,0,0,0,0,0,0,0
226,3,1,0,0,0,0,0,0,0,0,0,0
227,3,1,0,0,0,0,0,0,0,0,0,0
228,3,1,0,0,0,0,0,0,0,0,0,0
229,3,1,0,0,0,0,0,0,0,0,0,0
230,3,1,0,0,0,0,0,0,0,0,0,0
231,3,1,0,0,0,0,0,0,0,0,0,0
232,3,1,0,0,0,0,0,0,0,0,0,0
233,3,1,0,0,0,0,0,0,0,0,0,0
234,3,1,0,0,0,0,0,0,0,0,0,0
235,3,1,0,0,0,0,0,0,0,0,0,0
236,3,1,0,0,0,0,0,0,0,0,0,0
237,3,1,0,0,0,0,0,0,0,0,0,0
238,3,1,0,0,0,0,0,0,0,0,0,0
239,3,1,0,0,0,0,0,0,0,0,0,0
240,3,1,0,0,0,0,0,0,0,0,0,0
241,2,1,1,0,0,0,0,0,0,0,0,0
242,2,1,1,0,0,0,0,0,0,0,0,0
243,2,1,1,0,0,0,0,0,0,0,0,0
244,2,1,1,0,0,0,0,0,0,0,0,0
245,2,1,1,0,0,0,0,0,0,0,0,0
246,2,1,1,0,0,0,0,0,0,0,0,0
247,3,1,0,0,0,0,0,0,0,0,0,0
248,2,1,1,0,0,0,0,0,0,0,0,0
249,2,1,1,0,0,0,0,0,0,0,0,0
250,2,1,1,0,0,0,0,0,0,0,0,0
251,3,1,0,0,0,0,0,0,0,0,0,0
252,2,1,1,0,0,0,0,0,0,0,0,0
253,2,1,1,0,0,0,0,0,0,0,0,0
254,2,1,1,0,0,0,0,0,0,0,0,0
255,2,1,1,0,0,0,0,0,0,0,0,0
256,2,1,1,0,0,0,0,0,0,0,0,0
257,2,2,0,0,0,0,0,0,0,0,0,0
258,2,2,0,0,0,0,0,0,0,0,0,0
259,2,2,0,0,0,0,0,0,0,0,0,0
260,3,1,0,0,0,0,0,0,0,0,0,0
261,2,2,0,0,0,0,0,0,0,0,0,0
262,2,1,1,0,0,0,0,0,0,0,0,0
263,2,2,0,0,0,0,0,0,0,0,0,0
264,2,1,1,0,0,0,0,0,0,0,0,0
265,2,2,0,0,0,0,0,0,0,0,0,0
266,2,2,0,0,0,0,0,0,0,0,0,0
267,2,2,0,0,0,0,0,0,0,0,0,0
268,3,1,0,0,0,0,0,0,0,0,0,0
269,3,1,0,0,0,0,0,0,0,0,0,0
270,2,2,0,0,0,0,0,0,0,0,0,0
271,2,1,1,0,0,0,0,0,0,0,0,0
272,2,2,0,0,0,0,0,0,0,0,0,0
273,3,1,0,0,0,0,0,0,0,0,0,0
274,2,1,1,0,0,0,0,0,0,0,0,0
275,2,2,0,0,0,0,0,0,0,0,0,0
276,2,2,0,0,0,0,0,0,0,0,0,0
277,2,2,0,0,0,0,0,0,0,0,0,0
278,2,2,0,0,0,0,0,0,0,0,0,0
279,3,1,0,0,0,0,0,0,0,0,0,0
280,3,1,0,0,0,0,0,0,0,0,0,0
281,3,1,0,0,0,0,0,0,0,0,0,0
282,3,1,0,0,0,0,0,0,0,0,0,0
283,3,1,0,0,0,0,0,0,0,0,0,0
284,3,1,0,0,0,0,0,0,0,0,0,0
285,2,1,1,0,0,0,0,0,0,0,0,0
286,3,1,0,0,0,0,0,0,0,0,0,0
287,3,1,0,0,0,0,0,0,0,0,0,0
288,2,1,1,0,0,0,0,0,0,0,0,0
289,3,1,0,0,0,0,0,0,0,0,0,0
290,3,1,0,0,0,0,0,0,0,0,0,0
