pairing,Conservative,Labour,Liberal Democrat,Democratic Unionist Party,Alliance,Social Democratic & Labour Party,Sinn Fein,Ulster Unionist Party,Scottish National Party,Green,Plaid Cymru,Brexit party
210,1,1,0,0,0,0,0,0,0,0,0,0
211,1,1,0,0,0,0,0,0,0,0,0,0
212,1,1,0,0,0,0,0,0,0,0,0,0
213,1,1,0,0,0,0,0,0,0,0,0,0
214,1,1,0,0,0,0,0,0,0,0,0,0
215,1,1,0,0,0,0,0,0,0,0,0,0
216,1,1,0,0,0,0,0,0,0,0,0,0
217,1,1,0,0,0,0,0,0,0,0,0,0
218,1,1,0,0,0,0,0,0,0,0,0,0
219,1,1,0,0,0,0,0,0,0,0,0,0
220,1,1,0,0,0,0,0,0,0,0,0,0
221,2,0,0,0,0,0,0,0,0,0,0,0
222,1,1,0,0,0,0,0,0,0,0,0,0
223,1,1,0,0,0,0,0,0,0,0,0,0
224,1,1,0,0,0,0,0,0,0,0,0,0
225,2,0,0,0,0,0,0,0,0,0,0,0
226,1,1,0,0,0,0,0,0,0,0,0,0
227,2,0,0,0,0,0,0,0,0,0,0,0
228,1,1,0,0,0,0,0,0,0,0,0,0
229,1,1,0,0,0,0,0,0,0,0,0,0
230,1,1,0,0,0,0,0,0,0,0,0,0
231,1,1,0,0,0,0,0,0,0,0,0,0
232,1,1,0,0,0,0,0,0,0,0,0,0
233,1,1,0,0,0,0,0,0,0,0,0,0
234,1,1,0,0,0,0,0,0,0,0,0,0
235,1,1,0,0,0,0,0,0,0,0,0,0
236,1,1,0,0,0,0,0,0,0,0,0,0
237,1,1,0,0,0,0,0,0,0,0,0,0
238,1,1,0,0,0,0,0,0,0,0,0,0
239,2,0,0,0,0,0,0,0,0,0,0,0
240,2,0,0,0,0,0,0,0,0,0,0,0
241,1,1,0,0,0,0,0,0,0,0,0,0
242,1,1,0,0,0,0,0,0,0,0,0,0
243,0,2,0,0,0,0,0,0,0,0,0,0
244,1,1,0,0,0,0,0,0,0,0,0,0
245,1,1,0,0,0,0,0,0,0,0,0,0
246,1,1,0,0,0,0,0,0,0,0,0,0
247,1,1,0,0,0,0,0,0,0,0,0,0
248,1,1,0,0,0,0,0,0,0,0,0,0
249,1,1,0,0,0,0,0,0,0,0,0,0
250,1,1,0,0,0,0,0,0,0,0,0,0
251,1,1,0,0,0,0,0,0,0,0,0,0
252,1,1,0,0,0,0,0,0,0,0,0,0
253,1,1,0,0,0,0,0,0,0,0,0,0
254,0,2,0,0,0,0,0,0,0,0,0,0
255,0,2,0,0,0,0,0,0,0,0,0,0
256,0,1,1,0,0,0,0,0,0,0,0,0
257,1,1,0,0,0,0,0,0,0,0,0,0
258,0,2,0,0,0,0,0,0,0,0,0,0
259,0,2,0,0,0,0,0,0,0,0,0,0
260,0,2,0,0,0,0,0,0,0,0,0,0
261,1,1,0,0,0,0,0,0,0,0,0,0
262,1,1,0,0,0,0,0,0,0,0,0,0
263,1,1,0,0,0,0,0,0,0,0,0,0
264,1,1,0,0,0,0,0,0,0,0,0,0
265,1,1,0,0,0,0,0,0,0,0,0,0
266,1,1,0,0,0,0,0,0,0,0,0,0
267,1,1,0,0,0,0,0,0,0,0,0,0
268,1,1,0,0,0,0,0,0,0,0,0,0
269,1,1,0,0,0,0,0,0,0,0,0,0
270,1,1,0,0,0,0,0,0,0,0,0,0
271,1,1,0,0,0,0,0,0,0,0,0,0
272,1,1,0,0,0,0,0,0,0,0,0,0
273,1,1,0,0,0,0,0,0,0,0,0,0
274,1,1,0,0,0,0,0,0,0,0,0,0
275,1,1,0,0,0,0,0,0,0,0,0,0
276,1,1,0,0,0,0,0,0,0,0,0,0
277,1,1,0,0,0,0,0,0,0,0,0,0
278,1,1,0,0,0,0,0,0,0,0,0,0
279,1,0,1,0,0,0,0,0,0,0,0,0
280,1,1,0,0,0,0,0,0,0,0,0,0
281,1,1,0,0,0,0,0,0,0,0,0,0
282,1,1,0,0,0,0,0,0,0,0,0,0
283,1,1,0,0,0,0,0,0,0,0,0,0
284,1,1,0,0,0,0,0,0,0,0,0,0
285,0,2,0,0,0,0,0,0,0,0,0,0
286,0,2,0,0,0,0,0,0,0,0,0,0
287,0,2,0,0,0,0,0,0,0,0,0,0
288,0,2,0,0,0,0,0,0,0,0,0,0
289,1,1,0,0,0,0,0,0,0,0,0,0
290,1,0,1,0,0,0,0,0,0,0,0,0
291,1,1,0,0,0,0,0,0,0,0,0,0
292,1,0,1,0,0,0,0,0,0,0,0,0
293,1,0,1,0,0,0,0,0,0,0,0,0
294,1,1,0,0,0,0,0,0,0,0,0,0
295,1,1,0,0,0,0,0,0,0,0,0,0
296,1,1,0,0,0,0,0,0,0,0,0,0
297,1,1,0,0,0,0,0,0,0,0,0,0
298,1,1,0,0,0,0,0,0,0,0,0,0
299,1,1,0,0,0,0,0,0,0,0,0,0
300,1,1,0,0,0,0,0,0,0,0,0,0
301,1,1,0,0,0,0,0,0,0,0,0,0
302,1,1,0,0,0,0,0,0,0,0,0,0
303,1,1,0,0,0,0,0,0,0,0,0,0
304,1,1,0,0,0,0,0,0,0,0,0,0
305,1,1,0,0,0,0,0,0,0,0,0,0
306,1,1,0,0,0,0,0,0,0,0,0,0
307,1,1,0,0,0,0,0,0,0,0,0,0
308,1,1,0,0,0,0,0,0,0,0,0,0
309,1,1,0,0,0,0,0,0,0,0,0,0
310,1,1,0,0,0,0,0,0,0,0,0,0
311,1,1,0,0,0,0,0,0,0,0,0,0
312,1,1,0,0,0,0,0,0,0,0,0,0
313,1,1,0,0,0,0,0,0,0,0,0,0
314,1,1,0,0,0,0,0,0,0,0,0,0
315,0,2,0,0,0,0,0,0,0,0,0,0
316,0,2,0,0,0,0,0,0,0,0,0,0
317,1,1,0,0,0,0,0,0,0,0,0,0
318,0,2,0,0,0,0,0,0,0,0,0,0
319,1,1,0,0,0,0,0,0,0,0,0,0
320,1,1,0,0,0,0,0,0,0,0,0,0
321,1,1,0,0,0,0,0,0,0,0,0,0
322,1,1,0,0,0,0,0,0,0,0,0,0
323,0,2,0,0,0,0,0,0,0,0,0,0
324,0,2,0,0,0,0,0,0,0,0,0,0
325,0,2,0,0,0,0,0,0,0,0,0,0
326,1,1,0,0,0,0,0,0,0,0,0,0
327,1,1,0,0,0,0,0,0,0,0,0,0
328,1,1,0,0,0,0,0,0,0,0,0,0
329,1,1,0,0,0,0,0,0,0,0,0,0
330,1,1,0,0,0,0,0,0,0,0,0,0
331,1,1,0,0,0,0,0,0,0,0,0,0
332,1,1,0,0,0,0,0,0,0,0,0,0
333,1,1,0,0,0,0,0,0,0,0,0,0
334,1,1,0,0,0,0,0,0,0,0,0,0
335,0,2,0,0,0,0,0,0,0,0,0,0
336,0,2,0,0,0,0,0,0,0,0,0,0
337,0,2,0,0,0,0,0,0,0,0,0,0
338,1,1,0,0,0,0,0,0,0,0,0,0
339,1,1,0,0,0,0,0,0,0,0,0,0
340,1,1,0,0,0,0,0,0,0,0,0,0
341,1,1,0,0,0,0,0,0,0,0,0,0
342,1,1,0,0,0,0,0,0,0,0,0,0
343,1,1,0,0,0,0,0,0,0,0,0,0
344,1,1,0,0,0,0,0,0,0,0,0,0
345,1,1,0,0,0,0,0,0,0,0,0,0
346,1,1,0,0,0,0,0,0,0,0,0,0
347,1,1,0,0,0,0,0,0,0,0,0,0
348,1,1,0,0,0,0,0,0,0,0,0,0
349,0,2,0,0,0,0,0,0,0,0,0,0
350,0,2,0,0,0,0,0,0,0,0,0,0
351,1,1,0,0,0,0,0,0,0,0,0,0
352,1,0,1,0,0,0,0,0,0,0,0,0
353,1,1,0,0,0,0,0,0,0,0,0,0
354,1,1,0,0,0,0,0,0,0,0,0,0
355,0,1,1,0,0,0,0,0,0,0,0,0
356,1,1,0,0,0,0,0,0,0,0,0,0
357,1,1,0,0,0,0,0,0,0,0,0,0
358,0,2,0,0,0,0,0,0,0,0,0,0
359,0,2,0,0,0,0,0,0,0,0,0,0
360,0,2,0,0,0,0,0,0,0,0,0,0
361,0,2,0,0,0,0,0,0,0,0,0,0
